administratorId,uuid,uri
vwr00624,f3ffcf46-fbea-4345-8edb-6746a5568415,https://ngk.wisski.cloud/contents/67b260bd69a85
vwr00373,64fc5bb1-c6e6-4f78-9e83-78be05225a5d,https://ngk.wisski.cloud/contents/67b260bdd9fdc
vwr00736,8771af5f-f7a8-41dc-99d2-355a5dab0cca,https://ngk.wisski.cloud/contents/67b260be64f32
vwr00510,cb8f418e-9329-4445-aea6-6ff55ab6aa6a,https://ngk.wisski.cloud/contents/67b260bed360b
vwr00352,b050953a-3184-4af4-9ab2-f45464152cbe,https://ngk.wisski.cloud/contents/67b260bf547d2
vwr00533,51e666c3-9477-414d-9db4-a8ca40ea1d98,https://ngk.wisski.cloud/contents/67b260bfdd39a
vwr00472,ac11e729-4674-4d41-ba43-495965b0b474,https://ngk.wisski.cloud/contents/67b260c05f3b5
vwr00435,3e2d5265-b3c5-45e8-9d45-e5000d4cceb9,https://ngk.wisski.cloud/contents/67b260c0dd16b
vwr00589,074589a5-ce4a-40ce-b8d9-294abf8c54ae,https://ngk.wisski.cloud/contents/67b260c16b42e
vwr00436,1c8712b8-af32-466f-ba73-ae8876747e69,https://ngk.wisski.cloud/contents/67b260c1e531d
vwr00578,d2057b20-039b-4448-bb80-8ca376736166,https://ngk.wisski.cloud/contents/67b260c2723d5
vwr00384,d0aa7ef3-118f-44a5-811d-3b44d576c4e4,https://ngk.wisski.cloud/contents/67b260c3053cc
vwr00376,657bd676-c822-489e-bd33-d2bbf64eea90,https://ngk.wisski.cloud/contents/67b260c3865f7
vwr00734,5380c868-4104-4fd1-9dcd-08c612e8cbdc,https://ngk.wisski.cloud/contents/67b260c481468
vwr00660,1fa483b7-0f16-4caf-94e3-bea3e59048ae,https://ngk.wisski.cloud/contents/67b260c53ddf1
vwr00456,837ccc04-9a71-44ba-93be-8ffb3fea0737,https://ngk.wisski.cloud/contents/67b260c670c8f
vwr00513,a7c23792-fa5b-4ebc-a842-e8c5607ca966,https://ngk.wisski.cloud/contents/67b260c915804
vwr00272,3fafe772-85ed-45e1-ab6e-4e796655c3fc,https://ngk.wisski.cloud/contents/67b260cb3b11c
vwr00613,abb4ef23-3505-4760-8cd0-3bda385c62b5,https://ngk.wisski.cloud/contents/67b260cbeb58d
vwr00302,136ece93-ab49-45e3-9397-5ab15a2b2e50,https://ngk.wisski.cloud/contents/67b260cc7370c
vwr00261,90534503-817e-4766-a366-9c19cf77b78c,https://ngk.wisski.cloud/contents/67b260ccce70e
vwr00415,f8d9389e-3537-42e6-aadd-07d7a6abed92,https://ngk.wisski.cloud/contents/67b260cd32ccc
vwr00636,c5c12117-53c9-4e80-ba1b-73435c5c0b17,https://ngk.wisski.cloud/contents/67b260cd8b4bb
vwr00566,7e024d59-e278-4ed6-9efd-705bb2d2e458,https://ngk.wisski.cloud/contents/67b260ce1a0e2
vwr00735,c91b379d-49de-4153-abc0-7e5c1d1124bc,https://ngk.wisski.cloud/contents/67b260ce9bcc4
vwr00537,1c1889b6-41fb-43c1-8a5b-01a2281609d9,https://ngk.wisski.cloud/contents/67b260cf2ac9e
vwr00270,2c71a5d4-8a76-4338-8483-ce4f11f40ded,https://ngk.wisski.cloud/contents/67b260cfadf12
vwr00265,5bcb4a85-5c1b-4d64-afd5-bcdaa7b16906,https://ngk.wisski.cloud/contents/67b260d0589bf
