artifactToMarkAssignmentId,uuid,uri
56,['605c8908-e7fb-4433-8ef9-dc61dc8218fc'],https://ngk.wisski.cloud/contents/67b6417b260e3
57,['2b345409-b0ed-4c5f-8e45-de0026eee30e'],https://ngk.wisski.cloud/contents/67b6417b5ffe3
58,['2b345409-b0ed-4c5f-8e45-de0026eee30e'],https://ngk.wisski.cloud/contents/67b6417ba3be4
59,['0c7b8b4a-3943-4743-8a0d-a5c16afb3767'],https://ngk.wisski.cloud/contents/67b6417be7126
60,['0c7b8b4a-3943-4743-8a0d-a5c16afb3767'],https://ngk.wisski.cloud/contents/67b6417c2e208
61,['b74b5c25-2b5e-4da3-8858-e604dace7282'],https://ngk.wisski.cloud/contents/67b6417c75df5
62,['b74b5c25-2b5e-4da3-8858-e604dace7282'],https://ngk.wisski.cloud/contents/67b6417cae74a
63,['ca4767ac-9c1d-4261-ac23-cd805da0cb34'],https://ngk.wisski.cloud/contents/67b6417cec9e2
64,['45235326-7598-4e18-811a-7357f85cc3fb'],https://ngk.wisski.cloud/contents/67b6417d3a54a
65,['45235326-7598-4e18-811a-7357f85cc3fb'],https://ngk.wisski.cloud/contents/67b6417d7e4fb
66,['05335640-5682-4d34-8638-d14a8edf1fcc'],https://ngk.wisski.cloud/contents/67b6417dbe03d
67,['05335640-5682-4d34-8638-d14a8edf1fcc'],https://ngk.wisski.cloud/contents/67b6417e0a711
68,['062db386-4bf6-41c3-bf2f-0e8008e2e0eb'],https://ngk.wisski.cloud/contents/67b6417e4a25b
69,['062db386-4bf6-41c3-bf2f-0e8008e2e0eb'],https://ngk.wisski.cloud/contents/67b6417e8efa9
70,['110f885e-10da-42d2-87bb-5c0f302867f5'],https://ngk.wisski.cloud/contents/67b6417ecff60
71,['110f885e-10da-42d2-87bb-5c0f302867f5'],https://ngk.wisski.cloud/contents/67b6417f1f20f
72,['b8d3593a-2083-4ba1-be86-033aaffdc219'],https://ngk.wisski.cloud/contents/67b6417f71925
73,['b8d3593a-2083-4ba1-be86-033aaffdc219'],https://ngk.wisski.cloud/contents/67b6417fbd3c2
74,['011c2ed8-e244-4778-9584-2f31811bde19'],https://ngk.wisski.cloud/contents/67b6418014218
75,['011c2ed8-e244-4778-9584-2f31811bde19'],https://ngk.wisski.cloud/contents/67b64180524a5
76,['534a9eca-dc9b-4402-a143-efaf5d6c85ec'],https://ngk.wisski.cloud/contents/67b6418097ba4
77,['534a9eca-dc9b-4402-a143-efaf5d6c85ec'],https://ngk.wisski.cloud/contents/67b64180db009
78,['3b60a8d2-a254-4095-a13a-e1e2d43dff21'],https://ngk.wisski.cloud/contents/67b64181297b4
79,['3b60a8d2-a254-4095-a13a-e1e2d43dff21'],https://ngk.wisski.cloud/contents/67b6418165fc9
80,['a5756025-7e2f-45e1-8eda-c06c72569eae'],https://ngk.wisski.cloud/contents/67b64181a6646
81,['a5756025-7e2f-45e1-8eda-c06c72569eae'],https://ngk.wisski.cloud/contents/67b64181ec1e3
82,['65d73e20-9fb8-4888-a20a-ca56b907e9cf'],https://ngk.wisski.cloud/contents/67b641823beed
83,['65d73e20-9fb8-4888-a20a-ca56b907e9cf'],https://ngk.wisski.cloud/contents/67b6418283213
84,['93b69fa5-4f13-4aec-a823-41aa641ca01a'],https://ngk.wisski.cloud/contents/67b64182c3a20
85,['93b69fa5-4f13-4aec-a823-41aa641ca01a'],https://ngk.wisski.cloud/contents/67b641830ab65
86,['d76fa82d-4ea9-438b-80ff-da652a3a8301'],https://ngk.wisski.cloud/contents/67b6418341000
87,['d76fa82d-4ea9-438b-80ff-da652a3a8301'],https://ngk.wisski.cloud/contents/67b6418375610
88,['ab2fcf72-06be-4ad1-8dc4-a45445f8fcb0'],https://ngk.wisski.cloud/contents/67b64183ac399
89,['ab2fcf72-06be-4ad1-8dc4-a45445f8fcb0'],https://ngk.wisski.cloud/contents/67b64183e096a
90,['877fb4c0-665e-499a-9393-71923b266c6d'],https://ngk.wisski.cloud/contents/67b64184219d0
91,['877fb4c0-665e-499a-9393-71923b266c6d'],https://ngk.wisski.cloud/contents/67b64184596f7
92,['10dbcda5-7532-4880-b1b8-666c4e2404d1'],https://ngk.wisski.cloud/contents/67b6418494e3d
93,['10dbcda5-7532-4880-b1b8-666c4e2404d1'],https://ngk.wisski.cloud/contents/67b64184ceb20
94,['10dbcda5-7532-4880-b1b8-666c4e2404d1'],https://ngk.wisski.cloud/contents/67b6418515753
95,['8b370863-1fb4-42e0-a80b-4440bec80048'],https://ngk.wisski.cloud/contents/67b64185492c5
96,['8b370863-1fb4-42e0-a80b-4440bec80048'],https://ngk.wisski.cloud/contents/67b6418584b13
97,['6ea010a5-61a2-4ef1-a3c8-4dc35e15a991'],https://ngk.wisski.cloud/contents/67b64185c4d17
98,['6ea010a5-61a2-4ef1-a3c8-4dc35e15a991'],https://ngk.wisski.cloud/contents/67b6418609748
