artifactId,uuid,uri
obj01125,93473ca5-a704-4799-be28-09647bd268f2,https://ngk.wisski.cloud/contents/67b5e5eccf371
obj01474,866fe837-87a6-4e5b-b97b-1349174d603f,https://ngk.wisski.cloud/contents/67b5e5f1b8650
obj01897,67df136b-424e-4f0a-971a-66722e219854,https://ngk.wisski.cloud/contents/67b5e5fa941a4
obj01267,b3910c6e-14d0-4998-a61b-c62afc7092e4,https://ngk.wisski.cloud/contents/67b5e5fc799a4
obj01238,bba126d0-5b6d-4fbf-8288-a812d80c27cb,https://ngk.wisski.cloud/contents/67b5e5fe7771a
obj01216,9fa3a226-25aa-4f01-90f8-e8e78a73611c,https://ngk.wisski.cloud/contents/67b5e60066392
obj01873,586513ad-ff2a-4b99-8681-e93947af3e2f,https://ngk.wisski.cloud/contents/67b5e60222625
obj01850,e86448f7-8f4c-4501-ad99-da7a1b3c61ff,https://ngk.wisski.cloud/contents/67b5e6052744c
obj01276,6cf1a1cf-2de5-430b-9039-e7895a82df29,https://ngk.wisski.cloud/contents/67b5e606e3610
obj01199,462bd8e5-2da1-4269-90bf-8e02372cb442,https://ngk.wisski.cloud/contents/67b5e608ddd98
obj01676,8a4dee93-7afb-493c-887d-eded1d9c05a2,https://ngk.wisski.cloud/contents/67b5e60b0be8e
obj01244,73762fec-0ed6-4f10-bf89-e3a876e272f2,https://ngk.wisski.cloud/contents/67b5e60d6b334
obj01881,7d5adb29-98e4-4ccf-91ac-b45f42dda2d1,https://ngk.wisski.cloud/contents/67b5e60fb0713
obj01811,0d6acf75-f2f2-4031-be21-e3b24ef0e4c1,https://ngk.wisski.cloud/contents/67b5e611bb5af
obj01294,ab55d966-6e59-4e83-9f56-caa1684b1738,https://ngk.wisski.cloud/contents/67b5e614223e8
obj01147,5f91e5cf-ed0b-4bb1-9199-c11ccba39af9,https://ngk.wisski.cloud/contents/67b5e61609feb
obj01761,a130e104-1c4b-4980-b018-5794c5b7fdeb,https://ngk.wisski.cloud/contents/67b5e617929b2
obj01111,b8f60874-7db0-49a7-bfd0-01e9d3b0e3dd,https://ngk.wisski.cloud/contents/67b5e61a2ad8c
obj01214,9cccd1cc-03ca-4ff8-88de-3359dd9e7983,https://ngk.wisski.cloud/contents/67b5e61f88ef0
obj01742,e1ea0bc1-1ad1-49f7-ae9e-33a64bd8e8ec,https://ngk.wisski.cloud/contents/67b5e622360d4
obj01950,0f284a96-f509-4966-a065-fe821ab0d832,https://ngk.wisski.cloud/contents/67b5e623e360c
obj01118,4c1033e1-2115-4e28-bd95-ff75805a689a,https://ngk.wisski.cloud/contents/67b5e625af8d2
obj01258,af9f0e74-f22e-43c0-8ad2-beaaa8302175,https://ngk.wisski.cloud/contents/67b5e627981f0
obj01016,2a0428f1-b2cb-40a3-929b-77130f9443d2,https://ngk.wisski.cloud/contents/67b5e62a7b313
obj01520,4e5103ff-9019-4bd7-aa24-42479a1a04f0,https://ngk.wisski.cloud/contents/67b5e62bb9004
obj01993,86bc5204-09bd-4924-9d08-ed1e808d5fea,https://ngk.wisski.cloud/contents/67b5e62d9cc05
obj01009,fd5183e2-b565-4626-a074-1ca541a686b7,https://ngk.wisski.cloud/contents/67b5e63040a37
obj01901,605c8908-e7fb-4433-8ef9-dc61dc8218fc,https://ngk.wisski.cloud/contents/67b5e631f334c
obj01609,2b345409-b0ed-4c5f-8e45-de0026eee30e,https://ngk.wisski.cloud/contents/67b5e63368163
obj01065,0c7b8b4a-3943-4743-8a0d-a5c16afb3767,https://ngk.wisski.cloud/contents/67b5e6351c09e
obj01837,b74b5c25-2b5e-4da3-8858-e604dace7282,https://ngk.wisski.cloud/contents/67b5e63670d50
obj01137,ca4767ac-9c1d-4261-ac23-cd805da0cb34,https://ngk.wisski.cloud/contents/67b5e63eacb34
obj01441,8d0e7992-bd80-409d-9a3c-daa6d10b0866,https://ngk.wisski.cloud/contents/67b5e64108013
obj01015,45235326-7598-4e18-811a-7357f85cc3fb,https://ngk.wisski.cloud/contents/67b5e6434aab9
obj01467,05335640-5682-4d34-8638-d14a8edf1fcc,https://ngk.wisski.cloud/contents/67b5e645653f1
obj01109,062db386-4bf6-41c3-bf2f-0e8008e2e0eb,https://ngk.wisski.cloud/contents/67b5e648de26d
obj01797,110f885e-10da-42d2-87bb-5c0f302867f5,https://ngk.wisski.cloud/contents/67b5e64b3cf32
obj01288,b8d3593a-2083-4ba1-be86-033aaffdc219,https://ngk.wisski.cloud/contents/67b5e655bd894
obj01815,011c2ed8-e244-4778-9584-2f31811bde19,https://ngk.wisski.cloud/contents/67b5e6590f1ff
obj01985,534a9eca-dc9b-4402-a143-efaf5d6c85ec,https://ngk.wisski.cloud/contents/67b5e65ad9cd1
obj01182,3b60a8d2-a254-4095-a13a-e1e2d43dff21,https://ngk.wisski.cloud/contents/67b5e65cb8bed
obj01189,a5756025-7e2f-45e1-8eda-c06c72569eae,https://ngk.wisski.cloud/contents/67b5e65e29365
obj01347,65d73e20-9fb8-4888-a20a-ca56b907e9cf,https://ngk.wisski.cloud/contents/67b5e660810d2
obj01667,93b69fa5-4f13-4aec-a823-41aa641ca01a,https://ngk.wisski.cloud/contents/67b5e663b4cc5
obj01274,d76fa82d-4ea9-438b-80ff-da652a3a8301,https://ngk.wisski.cloud/contents/67b5e667ace43
obj01999,ab2fcf72-06be-4ad1-8dc4-a45445f8fcb0,https://ngk.wisski.cloud/contents/67b5e66902c07
obj01991,877fb4c0-665e-499a-9393-71923b266c6d,https://ngk.wisski.cloud/contents/67b5e66b61b93
obj01334,10dbcda5-7532-4880-b1b8-666c4e2404d1,https://ngk.wisski.cloud/contents/67b5e66f00600
obj01084,8b370863-1fb4-42e0-a80b-4440bec80048,https://ngk.wisski.cloud/contents/67b5e6708e702
obj01685,6ea010a5-61a2-4ef1-a3c8-4dc35e15a991,https://ngk.wisski.cloud/contents/67b5e6724bf76
obj01091,37c2b934-585c-45b8-8974-79bf9737d3dd,https://ngk.wisski.cloud/contents/67b5e676acb2b
obj01187,f41b03b2-d4d9-4cf5-9991-dfa74e00dbe5,https://ngk.wisski.cloud/contents/67b5e6797ab06
